North,,East,,gold-cut
7000,,15700,,299
6900,,15700,,278
6800,,15700,,187
6700,,15700,,111
6600,,15700,,78
6500,,15700,,138
6400,,15700,,59
6300,,15700,,60
6200,,15700,,29
6100,,15700,,26
6000,,15700,,25
5900,,15700,,18
5800,,15700,,27
,,,,
5800,,15800,,12
5900,,15800,,20
6000,,15800,,21
6100,,15800,,12
6200,,15800,,43
6300,,15800,,52
6400,,15800,,62
6500,,15800,,50
6600,,15800,,63
6700,,15800,,138
6800,,15800,,310
6900,,15800,,321
7000,,15800,,272
7100,,15800,,169
7200,,15800,,129
7300,,15800,,382
7400,,15800,,120
7500,,15800,,122
7600,,15800,,99
7700,,15800,,173
7800,,15800,,0
7900,,15800,,201
8000,,15800,,207
8100,,15800,,222
8200,,15800,,312
8300,,15800,,464
8400,,15800,,125
8500,,15800,,206
8600,,15800,,148
8700,,15800,,93
8800,,15800,,142
8900,,15800,,107
9000,,15800,,131
9100,,15800,,160
9200,,15800,,180
9300,,15800,,184
9400,,15800,,147
9500,,15800,,124
9600,,15800,,112
9700,,15800,,113
9800,,15800,,157
,,,,
9800,,15900,,70
9700,,15900,,104
9600,,15900,,89
9500,,15900,,223
9400,,15900,,141
9300,,15900,,207
9200,,15900,,183
9100,,15900,,149
9000,,15900,,119
8900,,15900,,130
8800,,15900,,132
8700,,15900,,129
8600,,15900,,160
8500,,15900,,170
8400,,15900,,316
8300,,15900,,366
8200,,15900,,311
8100,,15900,,275
8000,,15900,,166
7900,,15900,,232
7800,,15900,,0
7700,,15900,,169
7600,,15900,,95
7500,,15900,,61
7400,,15900,,0
7300,,15900,,251
7200,,15900,,536
7100,,15900,,192
7000,,15900,,373
6900,,15900,,248
6800,,15900,,176
6700,,15900,,114
6600,,15900,,56
6500,,15900,,50
6400,,15900,,49
6300,,15900,,29
6200,,15900,,51
6100,,15900,,13
6000,,15900,,17
5900,,15900,,0
5800,,15900,,0
,,,,
5800,,16000,,0
5900,,16000,,0
6000,,16000,,0
6100,,16000,,0
6200,,16000,,21
6300,,16000,,121
6400,,16000,,0
6500,,16000,,40
6600,,16000,,210
6700,,16000,,113
6800,,16000,,140
6900,,16000,,0
7000,,16000,,407
7100,,16000,,69
7200,,16000,,126
7300,,16000,,100
7400,,16000,,39
7500,,16000,,177
7600,,16000,,70
7700,,16000,,453
7800,,16000,,93
7900,,16000,,168
8000,,16000,,272
8100,,16000,,366
8200,,16000,,298
8300,,16000,,308
8400,,16000,,110
8500,,16000,,143
8600,,16000,,170
8700,,16000,,117
8800,,16000,,232
8900,,16000,,262
9000,,16000,,112
9100,,16000,,249
9200,,16000,,173
9300,,16000,,230
9400,,16000,,0
9500,,16000,,75
9600,,16000,,102
9700,,16000,,0
9800,,16000,,8
,,,,
9800,,16100,,76
9700,,16100,,102
9600,,16100,,84
9500,,16100,,165
9400,,16100,,189
9300,,16100,,217
9200,,16100,,396
9100,,16100,,439
9000,,16100,,326
8900,,16100,,279
8800,,16100,,260
8700,,16100,,176
8600,,16100,,169
8500,,16100,,174
8400,,16100,,145
8300,,16100,,306
8200,,16100,,293
8100,,16100,,300
8000,,16100,,282
7900,,16100,,227
7800,,16100,,195
7700,,16100,,161
7600,,16100,,82
7500,,16100,,296
7400,,16100,,544
7300,,16100,,0
7200,,16100,,301
7100,,16100,,254
7000,,16100,,434
6900,,16100,,215
6800,,16100,,46
6700,,16100,,115
6600,,16100,,0
6500,,16100,,32
6400,,16100,,0
6300,,16100,,230
6200,,16100,,42
6100,,16100,,0
6000,,16100,,0
5900,,16100,,27
5800,,16100,,0
,,,,
5800,,16200,,0
5900,,16200,,0
6000,,16200,,0
6100,,16200,,46
6200,,16200,,0
6300,,16200,,174
6400,,16200,,0
6500,,16200,,14
6600,,16200,,46
6700,,16200,,58
6800,,16200,,99
6900,,16200,,192
7000,,16200,,702
7100,,16200,,392
7200,,16200,,0
7300,,16200,,0
7400,,16200,,0
7500,,16200,,45
7600,,16200,,159
7700,,16200,,121
7800,,16200,,159
7900,,16200,,236
8000,,16200,,262
8100,,16200,,304
8200,,16200,,402
8300,,16200,,150
8400,,16200,,156
8500,,16200,,140
8600,,16200,,194
8700,,16200,,240
8800,,16200,,307
8900,,16200,,431
9000,,16200,,0
9100,,16200,,87
9200,,16200,,186
9300,,16200,,145
9400,,16200,,98
9500,,16200,,100
9600,,16200,,118
9700,,16200,,184
9800,,16200,,0
