North,,East,,"gold cut"
6600,,15500,,138
6600,,15600,,98
6600,,15700,,78
6600,,15800,,63
6600,,15900,,56
6600,,16000,,210
6600,,16100,,0
6600,,16200,,46
6700,,15000,,84
6700,,15100,,7
6700,,15200,,69
6700,,15300,,142
6700,,15400,,233
6700,,15500,,124
6700,,15600,,106
6700,,15700,,111
6700,,15800,,138
6700,,15900,,114
6700,,16000,,113
6700,,16100,,115
6700,,16200,,58
6800,,15000,,153
6800,,15100,,91
6800,,15200,,127
6800,,15300,,315
6800,,15400,,126
6800,,15500,,167
6800,,15600,,124
6800,,15700,,187
6800,,15800,,310
6800,,15900,,176
6800,,16000,,140
6800,,16100,,46
6800,,16200,,99
6900,,15000,,135
6900,,15100,,78
6900,,15200,,82
6900,,15300,,0
6900,,15400,,0
6900,,15500,,0
6900,,15600,,84
6900,,15700,,278
6900,,15800,,321
6900,,15900,,248
6900,,16000,,0
6900,,16100,,215
6900,,16200,,192
7000,,15000,,150
7000,,15100,,184
7000,,15200,,76
7000,,15300,,0
7000,,15400,,99
7000,,15500,,0
7000,,15600,,621
7000,,15700,,299
7000,,15800,,272
7000,,15900,,373
7000,,16000,,407
7000,,16100,,434
7000,,16200,,702
7100,,15000,,109
7100,,15100,,93
7100,,15200,,48
7100,,15300,,118
7100,,15400,,350
7100,,15500,,320
7100,,15600,,363
7100,,15700,,281
7100,,15800,,169
7100,,15900,,192
7100,,16000,,69
7100,,16100,,254
7100,,16200,,392
7200,,15000,,108
7200,,15100,,109
7200,,15200,,378
7200,,15300,,320
7200,,15400,,220
7200,,15500,,291
7200,,15600,,212
7200,,15700,,238
7200,,15800,,129
7200,,15900,,536
7200,,16000,,126
7200,,16100,,301
7200,,16200,,0
7300,,15000,,240
7300,,15100,,287
7300,,15200,,281
7300,,15300,,172
7300,,15400,,264
7300,,15500,,183
7300,,15600,,527
7300,,15700,,101
7300,,15800,,382
7300,,15900,,251
7300,,16000,,100
7300,,16100,,0
7300,,16200,,0
7400,,15000,,239
7400,,15100,,199
7400,,15200,,233
7400,,15300,,209
7400,,15400,,208
7400,,15500,,220
7400,,15600,,159
7400,,15700,,262
7400,,15800,,120
7400,,15900,,0
7400,,16000,,39
7400,,16100,,544
7400,,16200,,0
7500,,15000,,310
7500,,15100,,224
7500,,15200,,185
7500,,15300,,156
7500,,15400,,178
7500,,15500,,161
7500,,15600,,126
7500,,15700,,120
7500,,15800,,122
7500,,15900,,61
7500,,16000,,177
7500,,16100,,296
7500,,16200,,45
7600,,15000,,276
7600,,15100,,302
7600,,15200,,282
7600,,15300,,255
7600,,15400,,241
7600,,15500,,242
7600,,15600,,138
7600,,15700,,193
7600,,15800,,99
7600,,15900,,95
7600,,16000,,70
7600,,16100,,82
7600,,16200,,159
7700,,15000,,205
7700,,15100,,284
7700,,15200,,331
7700,,15300,,223
7700,,15400,,240
7700,,15500,,264
7700,,15600,,206
7700,,15700,,218
7700,,15800,,173
7700,,15900,,169
7700,,16000,,453
7700,,16100,,161
7700,,16200,,121
7800,,15000,,299
7800,,15100,,300
7800,,15200,,231
7800,,15300,,225
7800,,15400,,280
7800,,15500,,263
7800,,15600,,0
7800,,15700,,1799
7800,,15800,,0
7800,,15900,,0
7800,,16000,,93
7800,,16100,,195
7800,,16200,,159
7900,,15000,,217
7900,,15100,,379
7900,,15200,,200
7900,,15300,,199
7900,,15400,,325
7900,,15500,,259
7900,,15600,,134
7900,,15700,,148
7900,,15800,,201
7900,,15900,,232
7900,,16000,,168
7900,,16100,,227
7900,,16200,,236
