East,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800
15000,0,0,0,0,5,34,113,60,0,84,153,135,150,109,108,240,239,310,276,205,299,217,383,237,195,168,336,243,0,0,0,19,53,79,85,105,133,150,151,75,86
15100,0,0,0,0,0,30,134,75,188,7,91,78,184,93,109,287,199,224,302,284,300,379,317,56,262,372,325,0,0,18,16,31,73,79,113,154,196,239,322,183,88
15200,0,24,14,0,13,67,187,49,71,69,127,82,76,48,378,281,233,185,282,331,231,200,1210,244,343,202,196,0,84,102,81,73,88,126,150,170,250,515,218,182,114
15300,12,23,44,0,40,57,97,89,59,142,315,0,0,118,320,172,209,156,255,223,225,199,213,200,327,348,270,122,108,167,154,153,286,248,207,206,193,185,165,151,93
15400,0,10,0,24,28,84,150,83,128,233,126,0,99,350,220,264,208,178,241,240,280,325,362,923,218,741,116,135,286,247,207,162,352,221,235,214,186,165,132,132,116
15500,20,0,16,24,59,248,0,138,138,124,167,0,0,320,291,183,220,161,242,264,263,259,42,188,299,364,211,333,412,313,161,153,178,224,238,209,167,112,116,112,112
15600,63,10,53,18,32,0,66,126,98,106,124,84,621,363,212,527,159,126,138,206,0,134,240,226,360,438,313,433,555,243,173,154,179,212,213,185,151,120,102,108,121
15700,27,18,25,26,29,60,59,138,78,111,187,278,299,281,238,101,262,120,193,218,1799,148,284,279,451,380,900,349,209,139,136,133,153,188,197,180,155,132,111,107,120
15800,12,20,21,12,43,52,62,50,63,138,310,321,272,169,129,382,120,122,99,173,0,201,207,222,312,464,125,206,148,93,142,107,131,160,180,184,147,124,112,113,157
15900,0,0,17,13,51,29,49,50,56,114,176,248,373,192,536,251,0,61,95,169,0,232,166,275,311,366,316,170,160,129,132,130,119,149,183,207,141,223,89,104,70
16000,0,0,0,0,21,121,0,40,210,113,140,0,407,69,126,100,39,177,70,453,93,168,272,366,298,308,110,143,170,117,232,262,112,249,173,230,0,75,102,0,8
16100,0,27,0,0,42,230,0,32,0,115,46,215,434,254,301,0,544,296,82,161,195,227,282,300,293,306,145,174,169,176,260,279,326,439,396,217,189,165,84,102,76
16200,0,0,0,46,0,174,0,14,46,58,99,192,702,392,0,0,0,45,159,121,159,236,262,304,402,150,156,140,194,240,307,431,0,87,186,145,98,100,118,184,0
